Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Elizabeth H. Esty,Q3090454,,,,Representative,,CT
Person,Ted S. Yoho,Q3090476,,,,Representative,,FL
Person,Ron DeSantis,Q3105215,,,,Representative,,FL
Person,Lois Frankel,Q3182451,,,,Representative,,FL
Person,Doug Collins,Q5300373,,,,Representative,,GA
Person,Tulsi Gabbard,Q32620,,,,Representative,,HI
Person,Tammy Duckworth,Q3036410,,,,Senator,,IL
Person,Rodney Davis,Q7356899,,,,Representative,,IL
Person,Cheri Bustos,Q723148,,,,Representative,,IL
Person,Jackie Walorski,Q3157413,,,,Representative,,IN
Person,Susan W. Brooks,Q3225324,,,,Representative,,IN
Person,Luke Messer,Q3225316,,,,Representative,,IN
Person,Andy Barr,Q4760399,,,,Representative,,KY
Person,Elizabeth Warren,Q434706,,,,Senator,,MA
Person,Joseph P. Kennedy III,Q1707784,,,,Representative,,MA
Person,John K. Delaney,Q2688821,,,,Representative,,MD
Person,"Angus S. King, Jr.",Q544464,,,,Senator,,ME
Person,Daniel T. Kildee,Q3880272,,,,Representative,,MI
Person,Richard M. Nolan,Q2151594,,,,Representative,,MN
Person,Ann Wagner,Q3917251,,,,Representative,,MO
Person,Steve Daines,Q3200900,,,,Senator,,MT
Person,Richard Hudson,Q7326584,,,,Representative,,NC
Person,Robert Pittenger,Q3956848,,,,Representative,,NC
Person,Mark Meadows,Q11775860,,,,Representative,,NC
Person,George Holding,Q3956828,,,,Representative,,NC
Person,Heidi Heitkamp,Q50597,,,,Senator,,ND
Person,Kevin Cramer,Q3957020,,,,Representative,,ND
Person,Deb Fischer,Q2580649,,,,Senator,,NE
Person,Ann M. Kuster,Q3917208,,,,Representative,,NH
Person,Michelle Lujan Grisham,Q3917203,,,,Representative,,NM
Person,Grace Meng,Q5591303,,,,Representative,,NY
Person,Hakeem S. Jeffries,Q5640425,,,,Representative,,NY
Person,Sean Patrick Maloney,Q2262244,,,,Representative,,NY
Person,Chris Collins,Q5106217,,,,Representative,,NY
Person,Brad R. Wenstrup,Q892413,,,,Representative,,OH
Person,Joyce Beatty,Q976417,,,,Representative,,OH
Person,David P. Joyce,Q5235771,,,,Representative,,OH
Person,Jim Bridenstine,Q3601035,,,,Representative,,OK
Person,Markwayne Mullin,Q3448772,,,,Representative,,OK
